postDate,craigId,area,price,title,longitude,beds,latitude,link,numPic,updateDate,date,size,contentLen,reposts
"2015-11-28T17:25:14-0500,2015-11-28T17:25:14-0500",5336047594, (WILLIAMSBURG-BEDSTUY),950,( BRAND NEW ROOM FOR RENT ),-73.9436,,40.7012,/brk/roo/5336047594.html,4,"2015-11-28T17:25:14-0500,2015-11-28T17:25:14-0500",Nov 28,,4,0
"2015-11-29T00:12:19-0500,2015-11-29T00:12:19-0500",5336450232, (BED-STUY),800,this place is just stunning // three rooms left // move in today,-73.908156,,40.675674,/brk/roo/5336450232.html,12,"2015-11-29T00:12:19-0500,2015-11-29T00:12:19-0500",Nov 29,,6,0
"2015-11-29T00:15:01-0500,2015-11-29T00:15:01-0500",5336451947, (BED-STUY),775,all utilities included // come and see today // ready to move?,-73.908029,,40.679866,/brk/roo/5336451947.html,12,"2015-11-29T00:15:01-0500,2015-11-29T00:15:01-0500",Nov 29,,5,0
"2015-11-28T23:27:15-0500,2015-11-28T23:27:15-0500",5336420036, (Crown Heights/Bedford Stuyvesant),750,Share With Other Cool Single Professionals,-73.9367,,40.67,/brk/roo/5336420036.html,0,"2015-11-28T23:27:15-0500,2015-11-28T23:27:15-0500",Nov 28,,3,0
"2015-11-18T19:28:51-0500,2015-11-18T19:28:51-0500,2015-11-28T23:27:42-0500",5322307110, (Bushwick),900,3 Story Townhouse - Intimate & Immaculate !,-73.9274,,40.6907,/brk/roo/5322307110.html,16,"2015-11-18T19:28:51-0500,2015-11-18T19:28:51-0500,2015-11-28T23:27:42-0500",Nov 28,,9,0
"2015-11-18T11:49:06-0500,2015-11-18T11:49:06-0500,2015-11-28T23:28:09-0500",5321515692, (Bushwick),900,Fantastic Apartment Share Nearby Northern Lights Records,-73.9274,,40.6907,/brk/roo/5321515692.html,22,"2015-11-18T11:49:06-0500,2015-11-18T11:49:06-0500,2015-11-28T23:28:09-0500",Nov 28,,12,0
"2015-11-24T20:39:42-0500,2015-11-24T20:39:42-0500,2015-11-28T23:28:28-0500",5331192294, (Bushwick),899,1 room for 900 ready 12/1,-73.9274,,40.6907,/brk/roo/5331192294.html,22,"2015-11-24T20:39:42-0500,2015-11-24T20:39:42-0500,2015-11-28T23:28:28-0500",Nov 28,,18,0
"2015-11-16T15:16:41-0500,2015-11-16T15:16:41-0500,2015-11-28T23:30:32-0500",5318808473, (Crown Heights),999,- $1275 - 4 Bedroom / 3 Bathroom Triplex with Private Roof Deck,-73.9496,,40.6794,/brk/roo/5318808473.html,19,"2015-11-16T15:16:41-0500,2015-11-16T15:16:41-0500,2015-11-28T23:30:32-0500",Nov 28,,28,0
"2015-11-18T11:44:45-0500,2015-11-18T11:44:45-0500,2015-11-28T23:25:47-0500",5321507051, (Bushwick),895,Apartment Share in Hart Street on Bushwick Avenue,-73.9274,,40.6907,/brk/roo/5321507051.html,17,"2015-11-18T11:44:45-0500,2015-11-18T11:44:45-0500,2015-11-28T23:25:47-0500",Nov 28,,12,0
"2015-11-22T10:40:46-0500,2015-11-22T10:40:46-0500,2015-11-28T23:26:07-0500",5327258269, (Bushwick),1050,The Bushwick Townhouse Redone - Apartment seeking Roomies,-73.9274,,40.6907,/brk/roo/5327258269.html,19,"2015-11-22T10:40:46-0500,2015-11-22T10:40:46-0500,2015-11-28T23:26:07-0500",Nov 28,,12,0
"2015-11-19T18:03:11-0500,2015-11-19T18:03:11-0500,2015-11-28T22:57:49-0500",5323556088, (114 troutman st),1500,Spacious Room in Awesome Brand New Bushwick Artsy Building,-73.929802,127,40.699507,/brk/roo/5323556088.html,10,"2015-11-19T18:03:11-0500,2015-11-19T18:03:11-0500,2015-11-28T22:57:49-0500",Nov 28,,27,0
"2015-11-19T18:14:35-0500,2015-11-19T18:14:35-0500,2015-11-28T22:58:08-0500",5323570565, (114 Troutman St),1500,NO CREDIT CHECK! BIG ROOM IN ARTSY MODERN BUILDING,-73.929802,127,40.699507,/brk/roo/5323570565.html,10,"2015-11-19T18:14:35-0500,2015-11-19T18:14:35-0500,2015-11-28T22:58:08-0500",Nov 28,,27,0
"2015-11-28T23:02:32-0500,2015-11-28T23:02:32-0500,2015-11-29T00:04:47-0500",5336402142, (Bushwick),975,"QUIET, SPACIOUS BUSHWICK OASIS",-73.908969,,40.687323,/brk/roo/5336402142.html,7,"2015-11-28T23:02:32-0500,2015-11-28T23:02:32-0500,2015-11-29T00:04:47-0500",Nov 28,,12,0
"2015-11-16T14:59:10-0500,2015-11-16T14:59:10-0500,2015-11-28T23:19:11-0500",5318774772, (BUSHWICK/EAST WILLIAMSBURG),850,BRAND NEW LARGE ROOM*****GREAT SIZE & LOCATION* LAUNDRY & MORE!!,-73.913946,,40.689409,/brk/roo/5318774772.html,7,"2015-11-16T14:59:10-0500,2015-11-16T14:59:10-0500,2015-11-28T23:19:11-0500",Nov 28,,21,0
"2015-11-01T12:14:27-0500,2015-11-01T12:14:27-0500,2015-11-28T22:21:22-0500",5295286548, (Downtown),200,Large Temp Living Room Space Avail $200. p/w,-73.982019,,40.681289,/brk/roo/5295286548.html,5,"2015-11-01T12:14:27-0500,2015-11-01T12:14:27-0500,2015-11-28T22:21:22-0500",Nov 28,,11,0
"2015-11-28T22:37:08-0500,2015-11-28T22:37:08-0500,2015-11-28T22:37:09-0500",5336382241, (Bensonhurst),700,Marvelous Room Available Dec.1st Private in 2 BR apt.,,,,/brk/roo/5336382241.html,0,"2015-11-28T22:37:08-0500,2015-11-28T22:37:08-0500,2015-11-28T22:37:09-0500",Nov 28,,24,0
